Temperature,Humidity,WindSpeed,EDP,Hour,DayOfWeek,Month
18.12248328555436,54.49305682462887,5.528961694381677,0.0,1,2,7
18.633663058883858,53.38154478994802,4.592536225623444,0.0,2,2,7
18.640777889373783,54.116679867210344,6.310907565598004,0.0,3,2,7
20.15189167084787,54.393193529134756,5.840061470036573,0.0,4,2,7
19.722542703617535,51.49747063536219,5.98148686400761,0.0,5,2,7
19.787522333118066,51.616813785850695,5.172769056447677,0.0,6,2,7
20.259673257120586,51.532738913002575,5.891239851543142,0.0,7,2,7
20.132707513627608,49.396048766198504,5.5987795281141635,0.0,8,2,7
19.844097048474087,47.51259240078179,6.097676098548832,0.0,9,2,7
19.027708670445364,46.488976268326205,6.49799829124545,0.0,10,2,7
19.72557180389752,46.62914380716302,8.153182457511557,0.0,11,2,7
18.13396430876102,46.042691505275336,6.183342005738352,0.0,12,2,7
19.094901466608835,44.19170171464485,5.160278157819224,0.0,13,2,7
17.182665587072947,43.04647514424485,5.474244978319239,0.0,14,2,7
16.62043366922315,45.82026676755401,6.3417559757771595,0.0,15,2,7
17.523871857234848,47.41488993225331,5.423096344337597,0.0,16,2,7
15.818741856756946,47.9919191715065,4.679766792979358,0.0,17,2,7
16.983877730349043,49.88534489520868,5.530824347895296,0.0,18,2,7
15.143432735454562,51.35387237416541,5.885460154747382,0.0,19,2,7
16.687056503408595,49.69966756671823,5.400624977046228,0.0,20,2,7
16.270571042290214,52.546980593764744,5.549934528520756,0.0,21,2,7
16.897211403800654,52.467913476550144,5.857620514978707,0.0,22,2,7
17.06014781585595,54.84456585298094,6.71161487808889,0.0,23,2,7
16.92004086387602,53.295514960709724,7.277676821898509,0.0,0,2,7
