Temperature,Humidity,WindSpeed,EDP,Hour,DayOfWeek,Month
20.993428306022466,49.82936598031012,7.409519185105198,131.59337907824326,0,0,1
21.043746229665356,52.44240966269013,10.018563116011725,135.9797523479213,1,0,1
23.847734295513234,46.959712958589606,10.278240896892612,135.29979304665798,2,0,1
26.660124463672407,47.13209278086688,11.75378446584014,142.77296410943725,3,0,1
23.96651875958302,41.358711657564655,6.346551708686045,143.04261267518905,4,0,1
24.492213379642987,51.4726978331503,12.335436643030736,154.38395596120802,5,0,1
28.315433499743616,47.35368057701622,2.554387907060617,152.19047008213298,6,0,1
26.547644208355727,44.676441477974464,8.886803478216132,132.9247399491219,7,0,1
23.600447668284666,54.41587020753429,9.41944399587808,158.41638903169985,8,0,1
24.856031280288203,54.803025663902226,12.890817664079217,138.90864445141295,9,0,1
21.83463184261805,44.494495204060684,11.163915631129791,139.93113423853413,10,0,1
20.650172975932765,49.66623772642271,6.982986911390363,146.8490023955379,11,0,1
20.79750993293503,49.51628030471548,8.346671839901628,143.8739172548942,12,0,1
15.218953926475521,53.125321353275254,11.997845913461408,143.7088998141799,13,0,1
14.415772365189376,62.61475631750724,11.26279797440633,139.56671788976067,14,0,1
15.731469612245476,56.445693616339604,9.85872390063877,126.98845475597962,15,0,1
14.06173004328916,57.42804175881562,10.247458805654928,154.98289992966758,16,0,1
16.24229376713404,46.986853164259,13.869964548198372,133.46784895926191,17,0,1
13.653255244078272,62.25448595578351,10.317391686968556,162.52413054315312,18,0,1
12.840906283466108,53.53098299895975,11.692588501747142,169.1136143045692,19,0,1
19.122115051921707,55.001971109794276,18.55032797755439,168.40310938134436,20,0,1
16.559620069570634,58.139188634134456,7.850272432907873,172.34833240753562,21,0,1
18.20748339550548,62.23730626278888,6.643627420765503,197.582443247719,22,0,1
16.45451220531207,50.29228824015478,14.624684163832178,129.70589841554798,23,0,1
19.534969623402915,39.27446352217354,10.30956526352178,132.75240191982158,0,1,1
22.165259246746647,53.187040326371154,11.459080756072144,144.6402457101199,1,1,1
20.87286600818699,62.30426310100468,10.135247188554644,155.64811370411496,2,1,1
24.987266034191798,56.20491893734375,11.760772175382316,133.39664834289565,3,1,1
23.854615325883586,51.96460481566626,17.39369054764234,123.01890024493905,4,1,1
24.997381644022113,47.54391375662207,15.058731556368187,138.35872810863424,5,1,1
24.57304391084877,54.377177854507536,15.289577139368188,129.18870106234843,6,1,1
29.335900628697992,41.66354849851927,8.501005600231991,148.00409921723036,7,1,1
25.130044636897324,52.27775313726324,9.339160036274004,153.73380983968087,8,1,1
22.2721580821327,54.70962433012698,4.314414012468822,138.7564287804801,9,1,1
25.022204938374585,55.283285586794726,10.43857595411016,134.63073933873181,10,1,1
19.754525324083374,67.99467993528869,15.767887038024181,142.83962006485305,11,1,1
